id,question_id,content,score,status
1,1,Jika Si A Sedang berpikir maka sia bukan peserta ujian ,0,1
2,1,Jika Si A sekarang tidak berpikir maka ia peserta ujian ,0,1
3,1,Jika Si A Sedang berpikir maka ia peserta ujian ,10,1
4,1,Jika sekarang sedang berpikir maka si A bukan peserta ujian ,0,1
5,1,Jika Si A bukan peserta ujian maka ia tidak sedang berpikir ,0,1
6,2,Semua burung adalah elang ,0,1
7,2,Tidak setiap elang yang terbang ke selatan adalah burung ,0,1
8,2,Burung bukan elang ,0,1
9,2,Tidak semua burung Elang terbang ke selatan ,0,1
10,2,Tidak semua burung terbang ke selatan,10,1
11,3,Semua yang hadir bukan dokter ,0,1
12,3,Semua dokter hadir dalam rapat ,0,1
13,3,Semua yang hadir dalam rapat adalah dokter ,0,1
14,3,sementara peserta rapat bukan anggota asosiasi profesi,0,1
15,3,Sementara peserta rapat adalah dokter  ,10,1
16,4,Pak Imam pasti seorang petani ,10,1
17,4,Pak Imam bukan seorang petani ,0,1
18,4,Pak Imam terpaksa menjadi petani ,0,1
19,4,Pak Imam belum mau menjadi petani ,0,1
20,4,Pak Imam petani dari desa sebelah di Dayu,0,1
21,5,sebagian pengendara tidak mengenakan helm ,0,1
22,5,sebagian pengendara mengenakan helm dan sarung tangan,10,1
23,5,semua pengendara tidak mengenakan sarung tangan ,0,1
24,5,sebagian pengendara tidak menggunakan helm dan sarung tangan ,0,1
25,5,sebagian pengendara tidak mengenakan helm dan tidak mengenakan sarung tangan ,0,1
26,6,semua pesikolog hadir dalam rapat ,0,1
27,6,semua anggota perkumpulan adalah psikolog ,0,1
28,6,semua anggota perkumpulan yang hadir psikolog ,0,1
29,6,sebagian psikolog adalah anggota perkumpulan ,10,1
30,6,sebagian yang hadir bukan anggota perkumpulan� ,0,1
31,7,beberapa sarjana tidak menulis skripsi ,0,1
32,7,beberapa hipotesis skripsi tidak terbukti benar ,10,1
33,7,semua hipotesis skripsi terbukti benar ,0,1
34,7,semua hipotesis penelitian terbukti benar ,0,1
35,7,semua sarjana hipotesis skripsinya benar,0,1
36,8,"Nadia, Dian, Nisa, Yuan, Yuni",10,1
37,8,"Yuan, Nadia, Nisa, Dian, Yuni",0,1
38,8,"Yuni, Nisa, Yuan, Nadia, Dian",0,1
39,8,"Yuni, Yuan, Nisa, Dian, Nadia",0,1
40,8,"Nadia, Dian, Yuan, Nisa, Yuni�",0,1
41,9,Anisa diterima sebagai perangkat desa ,0,1
42,9,Anisa mampu mengerjakan tes perangkat desa ,0,1
43,9,Anisa belum tentu diterima sebagai perangkat desa ,10,1
44,9,Anisa tidak diterima sebagai perangkat desa ,0,1
45,9,Anisa tidak lulus dalam tes masuk Perangkat desa ,0,1
46,10,penghargaan band doa sambutan ramah tamah,0,1
47,10,sambutan penghargaan band ramah tamah doa,0,1
48,10,sambutan doa penghargaan Band tambah-tambah,0,1
49,10,penghargaan sambutan band doa ramah tamah,0,1
50,10,tidak ada pilihan jawaban yang benar,10,1
51,11,surat E,10,1
52,11,surat A,0,1
53,11,surat D,0,1
54,11,surat B,0,1
55,11,surat C,0,1
56,12,Terpercaya,10,1
57,12,Bertahan,0,1
58,12,Pemain lama,0,1
59,12,Kuat,0,1
60,12,Senior,0,1
61,13,Pencurian,0,1
62,13,Takut kecurian,10,1
63,13,Kecurian,0,1
64,13,Penyakit mencuri,0,1
65,13,Pencuri,0,1
66,14,Membingungkan,0,1
67,14,Tidak masuk akal,0,1
68,14,Terhubung,0,1
69,14,Bermakna ganda,0,1
70,14,Masuk akal,10,1
71,15,Sederhana,10,1
72,15,Produk lama,0,1
73,15,Hebat,0,1
74,15,Kuno,0,1
75,15,Mapan,0,1
76,16,Penulis : kuas : cat,0,1
77,16,Montir : obeng : tang,10,1
78,16,Guru : kapur : topi,0,1
79,16,Dokter : obat : stetoskop,0,1
80,16,Penari : topi : selendang,0,1
81,17,Terbang : berjalan,0,1
82,17,Tertawa : teriakan,0,1
83,17,Mengantuk : tidur,10,1
84,17,Makanan : kalori,0,1
85,17,Pelanggaran : hukuman,0,1
86,18,"saya mencatat untuk pertimbangan, sasaran, dan deadline ",10,1
87,18,saya jarang mencatat tetapi terekam selau dalam pikiran ,0,1
88,18,saya saya tidak membutuhkan daftar harian dan melakukan sesuai dengan yang terdekat dan terpenting ,0,1
89,18,saya selalu mencatat untuk pertimbangan mengambil keputusan ,0,1
90,18,saya kadang mencatatnya kadang tidak,0,1
91,19,saya membaginya sesuai dengan kepribadian dan sifat ,0,1
92,19,saya membaginya sesuai dengan minat dan keinginan ,0,1
93,19,saya membaginya sesuai dengan keahlian dan keterampilan ,10,1
94,19,saya membaginya sesuai dengan minat dan kemampuan ,0,1
95,19,saya membaginya sesuai dengan Bakat,0,1
96,20,saya mendelegasikan semua tugas kepada semua staf dan saya sebagai pengontrol dan pengawas ,10,1
97,20,saya mendelegasikan sebagian tugas kepada tetap dan sebagian kepada saya ,0,1
98,20,saya mendelegasikan tugas biasa kepada tetap dan tugas penting untuk saya ,0,1
99,20,saya mendelegasikan sebagian kecil tugas kepada staf ,0,1
